          x, m           t, s      e-, kg/m3       N, kg/m3       O, kg/m3      N+, kg/m3      O+, kg/m3      N2, kg/m3      NO, kg/m3      O2, kg/m3     NO+, kg/m3     N2+, kg/m3     O2+, kg/m3         Tve, K         u, m/s          p, Pa         Ttr, K     rho, kg/m3         Pp, Pa       Ht, J/kg         TOF, s         POI, m          Ev, J           E, J 

 0.2750000E-02  0.7241913E-06  0.6605053E-11  0.5776074E-04  0.1505349E-02  0.5495320E-11  0.1154858E-09  0.1043268E-01  0.6533265E-03  0.1423467E-02  0.3512033E-06  0.1203751E-09  0.1040872E-07  0.5862347E+04 -0.3797339E+04  0.2514727E+05  0.5634193E+04  0.1407295E-01  0.2029289E+06  0.8960673E+07  0.6875800E-04  0.1860257E+02  0.1814133E+05  0.2008483E+06 
 0.2875000E-02  0.7565056E-06  0.6868452E-11  0.5875734E-04  0.1569024E-02  0.5081241E-11  0.1208036E-09  0.1048414E-01  0.6910852E-03  0.1360930E-02  0.3666325E-06  0.1102256E-09  0.9322737E-08  0.5811890E+04 -0.3800369E+04  0.2516742E+05  0.5584693E+04  0.1416431E-01  0.2045723E+06  0.8960584E+07  0.6875800E-04  0.1860257E+02  0.1794039E+05  0.2024773E+06 
 0.3000000E-02  0.7888360E-06  0.7075655E-11  0.5950592E-04  0.1627936E-02  0.4697389E-11  0.1252481E-09  0.1053023E-01  0.7262807E-03  0.1302457E-02  0.3788619E-06  0.1012375E-09  0.8371029E-08  0.5762666E+04 -0.3803072E+04  0.2518540E+05  0.5540367E+04  0.1424680E-01  0.2060565E+06  0.8960507E+07  0.6875800E-04  0.1860257E+02  0.1774048E+05  0.2039483E+06 
 0.3125000E-02  0.8211792E-06  0.7233602E-11  0.6004965E-04  0.1682553E-02  0.4346938E-11  0.1289321E-09  0.1057191E-01  0.7589929E-03  0.1247852E-02  0.3882838E-06  0.9331005E-10  0.7540065E-08  0.5715298E+04 -0.3805503E+04  0.2520157E+05  0.5500422E+04  0.1432176E-01  0.2074056E+06  0.8960441E+07  0.6875800E-04  0.1860257E+02  0.1754562E+05  0.2052855E+06 
 0.3250000E-02  0.8535325E-06  0.7349367E-11  0.6042639E-04  0.1733310E-02  0.4029704E-11  0.1319586E-09  0.1060996E-01  0.7893262E-03  0.1196884E-02  0.3952991E-06  0.8631491E-10  0.6815029E-08  0.5670154E+04 -0.3807705E+04  0.2521622E+05  0.5464200E+04  0.1439031E-01  0.2086396E+06  0.8960383E+07  0.6875800E-04  0.1860257E+02  0.1735836E+05  0.2065085E+06 
 0.3375000E-02  0.8858935E-06  0.7429695E-11  0.6066867E-04  0.1780599E-02  0.3743813E-11  0.1344198E-09  0.1064498E-01  0.8173986E-03  0.1149310E-02  0.4002898E-06  0.8012454E-10  0.6181784E-08  0.5627418E+04 -0.3809713E+04  0.2522958E+05  0.5431166E+04  0.1445336E-01  0.2097749E+06  0.8960334E+07  0.6875800E-04  0.1860257E+02  0.1718019E+05  0.2076337E+06 
 0.3500000E-02  0.9182603E-06  0.7480737E-11  0.6080396E-04  0.1824774E-02  0.3486678E-11  0.1363961E-09  0.1067747E-01  0.8433350E-03  0.1104886E-02  0.4036044E-06  0.7462476E-10  0.5627638E-08  0.5587148E+04 -0.3811556E+04  0.2524184E+05  0.5400876E+04  0.1451168E-01  0.2108250E+06  0.8960290E+07  0.6875800E-04  0.1860257E+02  0.1701180E+05  0.2086746E+06 
 0.3625000E-02  0.9506314E-06  0.7507926E-11  0.6085513E-04  0.1866147E-02  0.3255522E-11  0.1379574E-09  0.1070782E-01  0.8672616E-03  0.1063378E-02  0.4055505E-06  0.6971818E-10  0.5141527E-08  0.5549318E+04 -0.3813255E+04  0.2525315E+05  0.5372966E+04  0.1456588E-01  0.2118011E+06  0.8960253E+07  0.6875800E-04  0.1860257E+02  0.1685339E+05  0.2096420E+06 
 0.3750000E-02  0.9830057E-06  0.7515952E-11  0.6084105E-04  0.1904994E-02  0.3047641E-11  0.1391637E-09  0.1073635E-01  0.8893029E-03  0.1024561E-02  0.4063934E-06  0.6532351E-10  0.4713946E-08  0.5513846E+04 -0.3814830E+04  0.2526363E+05  0.5347135E+04  0.1461646E-01  0.2127124E+06  0.8960220E+07  0.6875800E-04  0.1860257E+02  0.1670480E+05  0.2105452E+06 
 0.3875000E-02  0.1015382E-05  0.7508787E-11  0.6077713E-04  0.1941558E-02  0.2860521E-11  0.1400668E-09  0.1076331E-01  0.9095794E-03  0.9882250E-03  0.4063581E-06  0.6137324E-10  0.4336780E-08  0.5480616E+04 -0.3816297E+04  0.2527338E+05  0.5323130E+04  0.1466386E-01  0.2135663E+06  0.8960192E+07  0.6875800E-04  0.1860257E+02  0.1656568E+05  0.2113916E+06 
